,city,proj_number,country
0,Aachen,1,Germany
1,Aarhus,1,Denmark
2,Ajaccio,1,France
3,Alessandria,1,Italy
4,Alingsås,1,Sweden
5,Alkmaar,1,Netherlands
6,Almere,1,Netherlands
7,Amsterdam,1,Netherlands
8,Antalya,5,Türkiye
9,Apeldoorn,1,Netherlands
10,Asparrena,1,Spain
11,Augsburg,1,Germany
12,Ballerup,1,Denmark
13,Barcelona,1,Spain
14,Belgrade,1,Serbia
15,Bilbao,1,Spain
16,Birštonas,3,Lithuania
17,Bolzano,1,Italy
18,Bratislava,2,Slovakia
19,Brescia,1,Italy
20,Bristol,1,United Kingdom
21,Budapest,1,Hungary
22,Cerdanyola del Vallès,1,Spain
23,Cernier,1,Switzerland
24,Cesis,1,Latvia
25,Chorzow,1,Poland
26,Coventry,1,United Kingdom
27,Daugavpils,1,Latvia
28,Delft,1,Netherlands
29,Dijon,2,France
30,Drammen,1,Norway
31,Dresden,1,Germany
32,Drobeta Turnu Severin,1,Romania
33,Dundalk,1,Ireland
34,Eibar,1,Spain
35,Eindhoven,1,Netherlands
36,Erlangen,1,Germany
37,Eskilstuna,1,Sweden
38,Espoo,1,Finland
39,Evora,1,Portugal
40,Falkenberg,1,France
41,Firenze,1,Italy
42,Galanta,1,Slovakia
43,Galway,1,Ireland
44,Geneva,1,Switzerland
45,Genoa,1,Italy
46,Glasgow,2,United Kingdom
47,Göteborg,1,Sweden
48,Grenoble,3,France
49,Groningen,3,Netherlands
50,Halmstad,1,Sweden
51,Hamburg,1,Germany
52,Hannover,1,Germany
53,Hartberg,1,Austria
54,Heerlen,1,Netherlands
55,Helsingborg,2,Sweden
56,Helsingør,1,Denmark
57,Helsinki,1,Finland
58,Hillerød,1,Denmark
59,Høje-Taastrup,1,Denmark
60,Hvar,1,Croatia
61,Innsbruck,1,Austria
62,Istanbul,2,Türkiye
63,Jyväskylä,3,Finland
64,Köln,1,Germany
65,Kortrijk,2,Belgium
66,Kranj,1,Slovenia
67,Kremsmünster,1,Austria
68,Laguna de Duero,1,Spain
69,Lapua,1,Finland
70,Lecce,1,Italy
71,Leipzig,1,Germany
72,Limerick,1,Ireland
73,Lisbon,1,Portugal
74,Ljubljana,1,Slovenia
75,London,1,United Kingdom
76,Lulea,5,Sweden
77,Lund,1,Sweden
78,Lyon,1,France
79,Måbjerg,3,Denmark
80,Madrid,1,Spain
81,Mafra,3,Brazil
82,Malmö,1,Sweden
83,Manchester,2,United Kingdom
84,Milano,1,Italy
85,Milton Keynes,2,United Kingdom
86,Mödling,1,Austria
87,Montieri,1,Italy
88,Mórahalom,1,Hungary
89,München,1,Germany
90,Murcia,3,Spain
91,Nantes,1,France
92,Napoli,2,Italy
93,Neckarsulm,1,Germany
94,Neuchâtel,1,Switzerland
95,Nice,1,France
96,North Tipperary,1,United States
97,Nottingham,1,United Kingdom
98,Óbuda,1,Hungary
99,Oslo,1,Norway
100,Ostfildern,1,Germany
101,Oulu,1,Finland
102,Palma de Mallorca,2,Spain
103,Pamplona,1,Spain
104,Paris,1,France
105,Pernik,1,Bulgaria
106,Pisa,1,Italy
107,Plymouth,1,United Kingdom
108,Redange,1,France
109,Riihimäki,1,Finland
110,Rijssen,1,Netherlands
111,Roosendaal,1,Netherlands
112,Rotterdam,1,Netherlands
113,Rottne,2,Sweden
114,Saint-Quentin-en-Yvelines,1,France
115,Salzburg,1,Austria
116,San Sebastian,1,Spain
117,Santiago de Compostela,3,Spain
118,Sestao,1,Spain
119,Sierre,1,Switzerland
120,Słubice,1,Germany
121,Sofia,1,Bulgaria
122,Soma,2,Türkiye
123,Sonderborg,1,Denmark
124,Stambruges,1,Belgium
125,Stavanger,1,Norway
126,Stenløse,1,Denmark
127,Stockholm,1,Sweden
128,Stoke-on-Trent,1,United Kingdom
129,Stuttgart,1,Germany
130,Suonenjoki,1,Finland
131,Szentendre,1,Hungary
132,Talinn,2,Algeria
133,Tampere,1,Finland
134,Tartu,2,Estonia
135,Tepebasi,2,Türkiye
136,Torino,1,Italy
137,Trento,1,Italy
138,Trondheim,1,Norway
139,Tudela,2,Spain
140,Tulln,1,Austria
141,Turku,1,Finland
142,Umeå,2,Sweden
143,Utrecht,1,Netherlands
144,Valby,1,Denmark
145,Valencia,1,Spain
146,Valladolid,2,Spain
147,Varberg,3,Sweden
148,Växjö,1,Sweden
149,Versailles,2,France
150,Vienna,1,Austria
151,Viladecans,2,Spain
152,Vitoria-Gasteiz,1,Spain
153,Voiron,2,France
154,Warsaw,1,Poland
155,Weilerbach,1,Germany
156,Weiz / Gleisdorf,1,Austria
157,Zagorje,1,Croatia
158,Zaragoza,1,Spain
159,Zlín,2,Czechia
